Time [s],Temperature [C],DutyCycle [%],Setpoint [C]
4.05311584473e-06,75.8,100.0,76.8
2.05822515488,76.0,100.0,76.8
4.07379102707,76.0,100.0,76.8
6.09190201759,76.0,100.0,76.8
8.10782814026,76.0,100.0,76.8
10.1223990917,76.3,100.0,76.8
12.1374320984,76.3,100.0,76.8
14.1532781124,76.3,100.0,76.8
16.1712870598,76.3,100.0,76.8
18.1878521442,76.3,100.0,76.8
20.2058751583,76.3,100.0,76.8
22.2222421169,76.3,100.0,76.8
24.2403521538,76.6,100.0,76.8
26.2561020851,76.6,100.0,76.8
28.2706890106,76.6,100.0,76.8
30.2861440182,76.9,100.0,76.8
32.3010601997,76.9,100.0,76.8
34.3160741329,76.9,100.0,76.8
36.3323180676,76.9,100.0,76.8
38.3506290913,77.2,100.0,76.8
40.3672289848,77.2,100.0,76.8
42.3847332001,77.2,100.0,76.8
44.4002711773,77.2,100.0,76.8
46.4152920246,77.4,100.0,76.8
48.4301741123,77.4,100.0,76.8
50.445526123,77.2,100.0,76.8
52.4605720043,77.2,100.0,76.8
54.4758160114,76.9,100.0,76.8
56.4916021824,76.9,100.0,76.8
58.5098919868,76.9,100.0,76.8
60.5254631042,76.9,100.0,76.8
62.5437111855,76.9,100.0,76.8
64.5597770214,76.9,100.0,76.8
66.5751011372,76.9,100.0,76.8
68.5930039883,76.9,100.0,76.8
70.6081290245,76.9,100.0,76.8
72.6241559982,77.2,100.0,76.8
74.6393342018,77.2,100.0,76.8
76.6546311378,77.2,100.0,76.8
78.6729559898,77.2,100.0,76.8
80.68917799,77.4,100.0,76.8
82.7069392204,77.4,100.0,76.8
84.72290802,77.4,100.0,76.8
86.7380151749,77.4,100.0,76.8
88.7530870438,77.4,100.0,76.8
90.7686190605,77.4,100.0,76.8
92.7846171856,77.7,100.0,76.8
94.8021450043,77.7,100.0,76.8
96.8184230328,77.7,100.0,76.8
98.8368802071,78.0,100.0,76.8
100.85277915,78.0,100.0,76.8
102.871040106,78.0,100.0,76.8
104.886721134,78.0,100.0,76.8
106.901015997,78.0,100.0,76.8
108.91579318,78.3,100.0,76.8
110.932224035,78.3,100.0,76.8
112.950911045,78.3,100.0,76.8
114.966445208,78.3,100.0,76.8
116.984836102,78.3,100.0,76.8
119.000243187,78.3,100.0,76.8
121.01534009,78.3,100.0,76.8
123.030827999,78.6,100.0,76.8
125.045641184,78.6,100.0,76.8
127.060775042,78.6,100.0,76.8
129.076975107,78.6,100.0,76.8
131.095390081,78.6,100.0,76.8
133.110956192,78.6,100.0,76.8
135.129173994,78.6,100.0,76.8
137.144541025,78.6,100.0,76.8
139.160191059,78.6,100.0,76.8
141.178200006,78.6,100.0,76.8
143.193941116,78.6,100.0,76.8
145.208855152,78.6,100.0,76.8
147.225589991,78.6,100.0,76.8
149.243424177,78.6,100.0,76.8
151.265386105,78.6,100.0,76.8
153.28116107,78.6,100.0,76.8
155.30076313,78.6,100.0,76.8
157.316577196,78.6,100.0,76.8
159.331357002,78.6,100.0,76.8
161.347535133,78.6,100.0,76.8
163.365502119,78.6,100.0,76.8
165.381108046,78.6,100.0,76.8
167.396723986,78.6,100.0,76.8
169.415206194,78.6,100.0,76.8
171.43051815,78.6,100.0,76.8
173.44570303,78.6,100.0,76.8
175.460760117,78.6,100.0,76.8
177.476072073,78.6,100.0,76.8
179.490969181,78.9,100.0,76.8
181.50681901,78.9,100.0,76.8
183.524875164,78.9,100.0,76.8
185.540544987,79.2,100.0,76.8
187.55915308,79.2,100.0,76.8
189.574939013,79.2,100.0,76.8
191.592963219,79.2,100.0,76.8
193.609255075,79.2,100.0,76.8
195.624036074,79.2,100.0,76.8
197.640050173,78.9,100.0,76.8
199.658066988,78.9,100.0,76.8
201.675311089,78.6,100.0,76.8
203.692993164,78.6,100.0,76.8
205.707629204,78.9,100.0,76.8
207.723263025,78.9,100.0,76.8
209.738691092,78.9,100.0,76.8
211.75624609,78.9,100.0,76.8
213.77197814,79.2,100.0,76.8
215.787395,79.2,100.0,76.8
217.802756071,79.2,100.0,76.8
219.81834507,79.2,100.0,76.8
221.836372137,79.2,100.0,76.8
223.852717161,79.2,100.0,76.8
225.870863199,78.9,100.0,76.8
227.886339188,78.9,100.0,76.8
229.900984049,78.9,100.0,76.8
231.916093111,78.9,100.0,76.8
233.932293177,78.9,100.0,76.8
235.948141098,78.9,100.0,76.8
237.965799093,78.6,100.0,76.8
239.981379032,78.6,100.0,76.8
241.99725008,78.6,100.0,76.8
244.015104055,78.6,100.0,76.8
246.030562162,78.6,100.0,76.8
248.045549154,78.6,100.0,76.8
250.060729027,78.6,100.0,76.8
252.076271057,78.9,100.0,76.8
254.092339039,78.9,100.0,76.8
256.110206127,78.9,100.0,76.8
258.12620616,78.9,100.0,76.8
260.144327164,78.9,100.0,76.8
262.160329103,78.9,100.0,76.8
264.178325176,78.9,100.0,76.8
266.194378138,79.2,100.0,76.8
268.208538055,79.2,100.0,76.8
270.223858118,79.2,100.0,76.8
272.240358114,79.2,100.0,76.8
274.258569002,79.2,100.0,76.8
276.27484107,79.5,100.0,76.8
278.292551994,79.5,100.0,76.8
280.307687044,79.5,100.0,76.8
282.323096037,79.5,100.0,76.8
284.338502169,79.5,100.0,76.8
286.353491068,79.5,100.0,76.8
288.369008064,79.5,100.0,76.8
290.387791157,79.5,100.0,76.8
292.402925014,79.8,100.0,76.8
294.41852808,79.8,100.0,76.8
296.433416128,79.8,100.0,76.8
298.448931217,79.8,100.0,76.8
300.466828108,79.8,100.0,76.8
302.482650042,79.8,100.0,76.8
304.497580051,79.8,100.0,76.8
306.512879133,79.8,100.0,76.8
308.528290987,79.8,100.0,76.8
310.543260098,79.8,100.0,76.8
312.55904603,79.8,100.0,76.8
314.577242136,79.8,100.0,76.8
316.593159199,79.8,100.0,76.8
318.610733986,79.8,100.0,76.8
320.627127171,79.8,100.0,76.8
322.642158985,79.8,100.0,76.8
324.657757998,79.8,100.0,76.8
326.674998045,79.8,100.0,76.8
328.692174196,79.8,100.0,76.8
330.710260153,79.8,100.0,76.8
332.726646185,79.8,100.0,76.8
334.744701147,79.8,100.0,76.8
336.760429144,79.8,100.0,76.8
338.778568029,79.8,100.0,76.8
340.794800997,79.8,100.0,76.8
342.809941053,80.1,100.0,76.8
344.828704119,80.1,100.0,76.8
346.844670057,80.1,100.0,76.8
348.862724066,80.1,100.0,76.8
350.878631115,80.1,100.0,76.8
352.896618128,80.1,100.0,76.8
354.9122262,80.1,100.0,76.8
356.9274652,80.1,100.0,76.8
358.942234039,80.1,100.0,76.8
360.958660126,80.1,100.0,76.8
362.976822138,80.1,100.0,76.8
364.992832184,79.8,100.0,76.8
367.010699034,79.8,100.0,76.8
369.026199102,79.8,100.0,76.8
371.042116165,79.8,100.0,76.8
373.060075998,79.8,100.0,76.8
375.075786114,79.8,100.0,76.8
377.091830015,79.8,100.0,76.8
379.11037302,80.1,100.0,76.8
381.12631917,80.1,100.0,76.8
383.145015001,80.1,100.0,76.8
385.160462141,80.4,100.0,76.8
387.178447008,80.4,100.0,76.8
389.193981171,80.4,100.0,76.8
391.209233046,80.4,100.0,76.8
393.225311041,80.8,100.0,76.8
395.243498087,80.8,100.0,76.8
397.259978056,80.8,100.0,76.8
399.277723074,80.8,100.0,76.8
401.293381214,80.8,100.0,76.8
403.312462091,80.8,100.0,76.8
405.328096151,80.8,100.0,76.8
