Time [s],Temperature [C],DutyCycle [%],Setpoint [C]
6.19888305664e-06,51.4,100.0,52.8
2.01618218422,51.4,100.0,52.8
4.03435301781,51.4,100.0,52.8
6.04994606972,51.4,100.0,52.8
8.0677011013,51.3,100.0,52.8
10.0834670067,51.4,100.0,52.8
12.0988881588,51.4,100.0,52.8
14.11414814,51.5,100.0,52.8
16.1308071613,51.7,100.0,52.8
18.1482481956,51.5,100.0,52.8
20.1645240784,51.3,100.0,52.8
22.1820001602,51.1,100.0,52.8
24.1982531548,51.0,100.0,52.8
26.2129600048,51.0,100.0,52.8
28.2287340164,50.9,100.0,52.8
30.2464971542,51.0,100.0,52.8
32.2620611191,51.3,100.0,52.8
34.2785241604,51.5,100.0,52.8
36.2966241837,51.8,100.0,52.8
38.3127541542,52.0,80.0,52.8
40.3309390545,52.0,80.0,52.8
42.3468329906,52.0,80.0,52.8
45.2950630188,52.2,60.0,52.8
47.3105380535,52.4,40.0,52.8
49.3256289959,52.5,30.0,52.8
51.3407130241,52.4,40.0,52.8
53.3561170101,52.5,30.0,52.8
55.3733241558,52.7,10.0,52.8
57.3895812035,52.8,0.0,52.8
59.4061510563,52.9,0.0,52.8
61.4243202209,53.1,0.0,52.8
63.4396672249,53.2,0.0,52.8
65.4547400475,53.1,0.0,52.8
67.469299078,53.1,0.0,52.8
69.4841701984,53.2,0.0,52.8
71.4992949963,53.2,0.0,52.8
73.5147171021,53.2,0.0,52.8
75.5298650265,53.2,0.0,52.8
77.5447831154,52.9,0.0,52.8
79.5611610413,52.9,0.0,52.8
81.5792880058,52.9,0.0,52.8
83.5950040817,52.9,0.0,52.8
85.6100411415,52.8,0.0,52.8
87.6250920296,52.8,0.0,52.8
89.6407589912,52.7,10.0,52.8
91.6586661339,52.7,10.0,52.8
93.6737170219,52.5,30.0,52.8
95.6891372204,52.5,30.0,52.8
97.7041270733,52.5,30.0,52.8
99.7194650173,52.5,30.0,52.8
101.735728025,52.4,40.0,52.8
103.75367403,52.4,40.0,52.8
105.768938065,52.4,40.0,52.8
107.784104109,52.4,40.0,52.8
109.799635172,52.4,40.0,52.8
111.814675093,52.2,60.0,52.8
113.833003998,52.4,40.0,52.8
115.848389149,52.4,40.0,52.8
117.865060091,52.4,40.0,52.8
119.952013016,52.4,40.0,52.8
121.966943026,52.1,70.0,52.8
123.982547998,52.1,70.0,52.8
125.997473001,52.2,60.0,52.8
128.014000177,52.2,60.0,52.8
130.03179121,52.2,60.0,52.8
132.048442125,52.4,40.0,52.8
134.066033125,52.4,40.0,52.8
136.796179056,52.5,30.0,52.8
138.813111067,52.5,30.0,52.8
140.829355001,52.5,30.0,52.8
142.847829103,52.2,60.0,52.8
145.477037191,52.1,70.0,52.8
147.493853092,52.1,70.0,52.8
149.511632204,52.1,70.0,52.8
151.526741028,52.1,70.0,52.8
154.250562191,52.2,60.0,52.8
156.265887022,52.4,40.0,52.8
158.281104088,52.4,40.0,52.8
160.29631114,52.4,40.0,52.8
162.314429998,52.4,40.0,52.8
164.329905033,52.5,30.0,52.8
166.345521212,52.5,30.0,52.8
168.360491037,52.7,10.0,52.8
170.37494421,52.7,10.0,52.8
172.389923096,52.7,10.0,52.8
174.405498028,52.7,10.0,52.8
176.421815157,52.7,10.0,52.8
178.865967989,52.5,30.0,52.8
180.88132906,52.2,60.0,52.8
182.896842003,52.2,60.0,52.8
184.914813042,52.2,60.0,52.8
186.930611134,52.4,40.0,52.8
188.94550705,52.4,40.0,52.8
190.96067214,52.5,30.0,52.8
192.975381136,52.7,10.0,52.8
196.122635126,52.8,0.0,52.8
198.139551163,53.1,0.0,52.8
200.155586004,53.2,0.0,52.8
202.170302153,53.2,0.0,52.8
204.185534,53.4,0.0,52.8
206.200431108,53.4,0.0,52.8
208.215074062,53.2,0.0,52.8
210.231259108,53.2,0.0,52.8
212.247392178,53.2,0.0,52.8
214.26496911,53.4,0.0,52.8
216.280664206,53.4,0.0,52.8
218.296150208,53.4,0.0,52.8
220.310908079,53.4,0.0,52.8
222.326187134,53.4,0.0,52.8
224.341649055,53.5,0.0,52.8
226.356901169,53.5,0.0,52.8
228.374057055,53.5,0.0,52.8
230.389960051,53.5,0.0,52.8
232.405995131,53.5,0.0,52.8
234.420855999,53.7,0.0,52.8
236.436439991,53.7,0.0,52.8
238.45126915,53.8,0.0,52.8
240.466270208,53.8,0.0,52.8
242.481588125,53.8,0.0,52.8
244.496620178,53.9,0.0,52.8
246.511885166,53.9,0.0,52.8
248.52996707,54.1,0.0,52.8
250.546935081,54.1,0.0,52.8
252.563814163,54.2,0.0,52.8
254.580489159,54.2,0.0,52.8
256.596038103,54.2,0.0,52.8
258.613656044,54.2,0.0,52.8
260.629845142,54.2,0.0,52.8
262.644808054,54.4,0.0,52.8
264.660704136,54.2,0.0,52.8
266.678039074,54.1,0.0,52.8
268.693610191,54.1,0.0,52.8
270.709260225,53.9,0.0,52.8
272.725319147,53.9,0.0,52.8
274.743403196,53.7,0.0,52.8
276.75941515,53.5,0.0,52.8
278.777302027,53.2,0.0,52.8
280.792680025,53.2,0.0,52.8
282.808183193,53.2,0.0,52.8
284.82379508,53.4,0.0,52.8
286.841402054,53.4,0.0,52.8
288.857079029,53.2,0.0,52.8
290.872910023,53.2,0.0,52.8
292.888352156,53.4,0.0,52.8
294.90644002,53.4,0.0,52.8
296.923054218,53.4,0.0,52.8
298.940834999,53.4,0.0,52.8
300.956729174,53.4,0.0,52.8
302.971017122,53.2,0.0,52.8
305.054588079,53.2,0.0,52.8
307.070824146,52.9,0.0,52.8
309.0864501,53.1,0.0,52.8
311.101463079,52.9,0.0,52.8
313.118412018,52.8,0.0,52.8
315.134883165,52.8,0.0,52.8
317.151353121,52.8,0.0,52.8
319.166231155,52.8,0.0,52.8
321.185998201,52.8,0.0,52.8
323.203333139,52.9,0.0,52.8
325.219005108,52.9,0.0,52.8
327.233795166,52.8,0.0,52.8
329.249021053,52.7,10.0,52.8
331.266571045,52.7,10.0,52.8
333.282509089,52.5,30.0,52.8
335.298516989,52.4,40.0,52.8
337.31536603,52.4,40.0,52.8
339.332879066,52.5,30.0,52.8
341.348482132,52.7,10.0,52.8
343.366020203,52.8,0.0,52.8
345.381998062,52.8,0.0,52.8
347.398040056,52.8,0.0,52.8
349.413231134,52.8,0.0,52.8
351.428364038,52.8,0.0,52.8
353.447559118,52.5,30.0,52.8
355.465934992,52.4,40.0,52.8
357.481306076,52.4,40.0,52.8
359.548847198,52.5,30.0,52.8
361.566262007,52.7,10.0,52.8
364.989581108,52.5,30.0,52.8
367.004203081,52.5,30.0,52.8
369.227594137,52.7,10.0,52.8
371.243267059,52.7,10.0,52.8
373.258574009,52.7,10.0,52.8
375.274107218,52.7,10.0,52.8
377.288339138,52.7,10.0,52.8
379.304018021,52.5,30.0,52.8
381.319692135,52.5,30.0,52.8
383.338009119,52.5,30.0,52.8
385.353914022,52.5,30.0,52.8
387.371490002,52.7,10.0,52.8
389.387236118,52.7,10.0,52.8
391.402930021,52.7,10.0,52.8
393.417234182,52.5,30.0,52.8
395.432869196,52.7,10.0,52.8
397.448696136,52.7,10.0,52.8
399.466434002,52.8,0.0,52.8
401.483085155,52.8,0.0,52.8
403.498005152,52.8,0.0,52.8
405.51576519,52.8,0.0,52.8
407.531860113,52.7,10.0,52.8
409.547653198,52.7,10.0,52.8
411.56578517,52.7,10.0,52.8
413.581987143,52.7,10.0,52.8
415.600244045,52.7,10.0,52.8
418.454989195,52.5,30.0,52.8
420.469719172,52.5,30.0,52.8
422.485865116,52.5,30.0,52.8
424.504317045,52.5,30.0,52.8
426.728294134,52.7,10.0,52.8
428.744268179,52.8,0.0,52.8
430.763079166,52.9,0.0,52.8
432.777845144,53.1,0.0,52.8
434.792993069,53.2,0.0,52.8
436.808621168,53.4,0.0,52.8
438.82273221,53.5,0.0,52.8
440.837942123,53.5,0.0,52.8
442.852917194,53.5,0.0,52.8
444.867940187,53.7,0.0,52.8
446.884155989,53.5,0.0,52.8
448.900112152,53.4,0.0,52.8
450.921362162,53.4,0.0,52.8
452.936307192,53.5,0.0,52.8
454.952446222,53.4,0.0,52.8
456.966710091,53.4,0.0,52.8
458.981766224,53.4,0.0,52.8
460.998212099,53.2,0.0,52.8
463.012594223,53.1,0.0,52.8
465.027251005,52.9,0.0,52.8
467.042443037,52.8,0.0,52.8
469.058198214,52.7,10.0,52.8
471.073986053,52.5,30.0,52.8
473.091742039,52.5,30.0,52.8
475.107570171,52.5,30.0,52.8
477.122980118,52.7,10.0,52.8
480.497019053,52.8,0.0,52.8
483.724897146,52.7,10.0,52.8
485.739225149,52.7,10.0,52.8
487.754503012,52.7,10.0,52.8
489.770280123,52.8,0.0,52.8
491.785438061,52.8,0.0,52.8
493.801581144,52.9,0.0,52.8
495.819379091,52.9,0.0,52.8
497.835748196,52.9,0.0,52.8
499.853507996,52.8,0.0,52.8
501.868753195,52.9,0.0,52.8
503.884606123,52.9,0.0,52.8
505.899071217,52.8,0.0,52.8
507.915727139,52.7,10.0,52.8
509.933381081,52.5,30.0,52.8
511.949167013,52.4,40.0,52.8
513.965373039,52.4,40.0,52.8
515.982473135,52.4,40.0,52.8
517.998334169,52.5,30.0,52.8
520.013673067,52.5,30.0,52.8
522.02868104,52.7,10.0,52.8
524.048465014,52.7,10.0,52.8
526.065504074,52.7,10.0,52.8
528.082186222,52.8,0.0,52.8
530.098198175,52.9,0.0,52.8
532.11540699,52.8,0.0,52.8
534.131419182,52.7,10.0,52.8
536.146808147,52.4,40.0,52.8
538.202023029,52.2,60.0,52.8
540.218145132,52.1,70.0,52.8
542.233412027,52.2,60.0,52.8
544.25167799,52.4,40.0,52.8
546.267378092,52.7,10.0,52.8
549.101492167,52.8,0.0,52.8
551.11730814,52.8,0.0,52.8
553.137013197,52.8,0.0,52.8
555.154307127,52.7,10.0,52.8
557.169085026,52.7,10.0,52.8
559.18534708,52.8,0.0,52.8
561.200106144,52.9,0.0,52.8
563.216333151,53.1,0.0,52.8
565.233996153,53.2,0.0,52.8
567.25030303,53.2,0.0,52.8
569.264977217,53.2,0.0,52.8
571.280059099,53.1,0.0,52.8
573.295495033,52.9,0.0,52.8
575.310568094,52.9,0.0,52.8
577.32558918,52.9,0.0,52.8
579.340450048,52.9,0.0,52.8
581.355306149,52.8,0.0,52.8
583.37017417,52.9,0.0,52.8
585.385105133,52.9,0.0,52.8
587.40201211,52.9,0.0,52.8
589.419910192,52.9,0.0,52.8
591.435474157,53.1,0.0,52.8
593.450106144,52.9,0.0,52.8
595.465200186,53.1,0.0,52.8
597.480482101,53.1,0.0,52.8
599.495638132,53.1,0.0,52.8
601.511445999,52.9,0.0,52.8
603.52936101,53.1,0.0,52.8
605.545415163,53.1,0.0,52.8
607.560705185,53.1,0.0,52.8
609.575803041,52.9,0.0,52.8
611.591053009,52.9,0.0,52.8
613.609674215,52.9,0.0,52.8
615.625566006,52.9,0.0,52.8
617.643000126,52.8,0.0,52.8
619.658711195,52.7,10.0,52.8
621.673566103,52.5,30.0,52.8
623.692125082,52.5,30.0,52.8
625.708692074,52.5,30.0,52.8
627.72442317,52.7,10.0,52.8
629.742441177,52.8,0.0,52.8
631.758499146,52.8,0.0,52.8
633.776431084,52.7,10.0,52.8
635.792461157,52.7,10.0,52.8
637.807224035,52.8,0.0,52.8
639.822245121,52.8,0.0,52.8
641.837563992,52.9,0.0,52.8
643.852850199,53.1,0.0,52.8
645.86780405,53.1,0.0,52.8
647.883378029,53.1,0.0,52.8
649.898755074,53.1,0.0,52.8
651.916896105,53.1,0.0,52.8
653.931817055,53.1,0.0,52.8
655.947907209,53.1,0.0,52.8
657.962543011,52.9,0.0,52.8
659.977111101,52.9,0.0,52.8
661.992748022,52.9,0.0,52.8
664.008362055,52.9,0.0,52.8
666.023136139,52.9,0.0,52.8
668.03915,52.9,0.0,52.8
670.05809617,52.9,0.0,52.8
672.076521158,52.8,0.0,52.8
674.091814041,52.8,0.0,52.8
676.107067108,52.8,0.0,52.8
678.122373104,52.7,10.0,52.8
680.139990091,52.5,30.0,52.8
682.156480074,52.4,40.0,52.8
684.172033072,52.4,40.0,52.8
686.189939022,52.4,40.0,52.8
688.205936193,52.4,40.0,52.8
690.220373154,52.5,30.0,52.8
692.236949205,52.5,30.0,52.8
694.254647017,52.5,30.0,52.8
696.269654989,52.5,30.0,52.8
698.284672022,52.4,40.0,52.8
700.300057173,52.4,40.0,52.8
702.315109015,52.4,40.0,52.8
704.330116034,52.5,30.0,52.8
706.346477032,52.7,10.0,52.8
708.364584208,52.7,10.0,52.8
710.380391121,52.8,0.0,52.8
712.395488024,52.8,0.0,52.8
714.410359144,52.5,30.0,52.8
716.425863028,52.5,30.0,52.8
718.887666225,52.4,40.0,52.8
720.905725002,52.2,60.0,52.8
722.921568155,52.1,70.0,52.8
724.937033176,52.1,70.0,52.8
726.954838037,52.2,60.0,52.8
728.970183134,52.4,40.0,52.8
730.985635042,52.5,30.0,52.8
733.000387192,52.5,30.0,52.8
735.324020147,52.7,10.0,52.8
737.342084169,52.7,10.0,52.8
739.357692003,52.7,10.0,52.8
741.372542143,52.4,40.0,52.8
744.301500082,52.1,70.0,52.8
746.319648027,52.1,70.0,52.8
748.336035013,52.1,70.0,52.8
750.354273081,52.2,60.0,52.8
753.282459021,52.5,30.0,52.8
755.298178196,52.7,10.0,52.8
757.31342411,52.8,0.0,52.8
759.328283072,52.9,0.0,52.8
761.344310045,53.1,0.0,52.8
763.362940073,53.2,0.0,52.8
765.377761126,53.4,0.0,52.8
767.393089056,53.5,0.0,52.8
769.407862186,53.7,0.0,52.8
771.431378126,53.8,0.0,52.8
773.446142197,53.9,0.0,52.8
775.460820198,54.1,0.0,52.8
777.476309061,54.2,0.0,52.8
779.492544174,54.1,0.0,52.8
781.510951996,53.9,0.0,52.8
783.527185202,53.9,0.0,52.8
785.54500699,53.8,0.0,52.8
787.560202122,53.8,0.0,52.8
789.575421095,53.9,0.0,52.8
791.59032321,53.9,0.0,52.8
793.606146097,53.9,0.0,52.8
795.620841026,54.1,0.0,52.8
797.635639191,54.1,0.0,52.8
799.651803017,54.1,0.0,52.8
801.669527054,54.1,0.0,52.8
803.68564105,53.9,0.0,52.8
805.700590134,53.7,0.0,52.8
807.715293169,53.5,0.0,52.8
809.73025012,53.7,0.0,52.8
811.746179104,53.7,0.0,52.8
813.76101613,53.7,0.0,52.8
815.775517225,53.7,0.0,52.8
817.790976048,53.7,0.0,52.8
819.806235075,53.5,0.0,52.8
821.82202816,53.4,0.0,52.8
823.840012074,53.1,0.0,52.8
825.856961012,52.9,0.0,52.8
827.874327183,52.9,0.0,52.8
829.890282154,52.9,0.0,52.8
831.905925035,53.1,0.0,52.8
833.923546076,53.1,0.0,52.8
835.938948154,53.1,0.0,52.8
837.953449011,53.1,0.0,52.8
839.968669176,53.2,0.0,52.8
841.985675097,53.2,0.0,52.8
844.003948212,53.2,0.0,52.8
846.019790173,53.1,0.0,52.8
848.037910223,52.9,0.0,52.8
850.053427219,52.9,0.0,52.8
852.067844152,53.1,0.0,52.8
854.083306074,52.9,0.0,52.8
856.098576069,52.9,0.0,52.8
858.113837004,52.9,0.0,52.8
860.129840136,52.9,0.0,52.8
862.14794302,52.9,0.0,52.8
864.163169146,52.9,0.0,52.8
866.17822814,52.9,0.0,52.8
868.193353176,52.9,0.0,52.8
870.208468199,52.9,0.0,52.8
872.224570036,52.9,0.0,52.8
874.242080212,53.1,0.0,52.8
876.258115053,53.1,0.0,52.8
878.272908211,53.2,0.0,52.8
880.288741112,53.1,0.0,52.8
882.304466009,53.1,0.0,52.8
884.322785139,53.1,0.0,52.8
886.337826014,52.9,0.0,52.8
888.353326082,52.8,0.0,52.8
890.37077117,52.8,0.0,52.8
892.386980057,52.8,0.0,52.8
894.402911186,52.8,0.0,52.8
896.431735992,52.9,0.0,52.8
898.448572159,52.9,0.0,52.8
900.464500189,52.8,0.0,52.8
902.479929209,52.8,0.0,52.8
904.497872114,52.7,10.0,52.8
906.513656139,52.7,10.0,52.8
908.531546116,52.5,30.0,52.8
911.468608141,52.5,30.0,52.8
913.483740091,52.4,40.0,52.8
915.499637127,52.4,40.0,52.8
918.322023153,52.5,30.0,52.8
920.339795113,52.5,30.0,52.8
922.355650187,52.7,10.0,52.8
924.370340109,52.7,10.0,52.8
926.386599064,52.7,10.0,52.8
928.405308008,52.7,10.0,52.8
930.420793056,52.7,10.0,52.8
932.439566135,52.8,0.0,52.8
934.454681158,52.9,0.0,52.8
936.469097137,52.9,0.0,52.8
938.484423161,53.1,0.0,52.8
940.499567032,53.2,0.0,52.8
942.514686108,53.5,0.0,52.8
944.529463053,53.5,0.0,52.8
946.546244144,53.7,0.0,52.8
948.56388402,53.7,0.0,52.8
950.579867125,53.7,0.0,52.8
952.595338106,53.5,0.0,52.8
954.613422155,53.5,0.0,52.8
956.628750086,53.4,0.0,52.8
958.64371109,53.4,0.0,52.8
960.658795118,53.2,0.0,52.8
962.674376011,53.2,0.0,52.8
964.688965082,53.1,0.0,52.8
966.704824209,53.1,0.0,52.8
968.719710112,52.9,0.0,52.8
970.735405207,52.9,0.0,52.8
972.753550053,52.8,0.0,52.8
974.76872015,52.9,0.0,52.8
976.784052134,52.9,0.0,52.8
978.799565077,52.9,0.0,52.8
980.814824104,52.8,0.0,52.8
982.829339027,52.8,0.0,52.8
984.844933033,52.8,0.0,52.8
986.859475136,52.8,0.0,52.8
988.875441074,52.8,0.0,52.8
990.890769005,52.9,0.0,52.8
992.908941031,52.8,0.0,52.8
994.924326181,52.8,0.0,52.8
996.939574003,52.7,10.0,52.8
998.954966068,52.5,30.0,52.8
1000.96919608,52.5,30.0,52.8
1002.9846971,52.7,10.0,52.8
1004.99988604,52.7,10.0,52.8
1007.014992,52.5,30.0,52.8
1009.02969909,52.7,10.0,52.8
1011.04617119,52.8,0.0,52.8
1013.06388211,52.9,0.0,52.8
1015.07953215,53.1,0.0,52.8
1017.095716,53.1,0.0,52.8
1019.11309409,53.1,0.0,52.8
1021.129076,52.9,0.0,52.8
1023.14428711,53.1,0.0,52.8
1025.15961814,53.1,0.0,52.8
1027.17451406,53.1,0.0,52.8
1029.18966603,53.1,0.0,52.8
1031.2056191,53.1,0.0,52.8
1033.22425818,52.9,0.0,52.8
1035.23960018,52.8,0.0,52.8
1037.25810814,52.7,10.0,52.8
1039.27280712,52.7,10.0,52.8
1041.288203,52.7,10.0,52.8
1043.30353713,52.7,10.0,52.8
1045.31859112,52.7,10.0,52.8
1047.33344102,52.8,0.0,52.8
1049.34970212,52.9,0.0,52.8
1051.36762905,52.9,0.0,52.8
1053.38379812,53.1,0.0,52.8
1055.40167904,53.2,0.0,52.8
1057.41782212,53.2,0.0,52.8
1059.43296909,53.2,0.0,52.8
1061.44741702,53.1,0.0,52.8
1063.46355319,52.9,0.0,52.8
1065.480968,52.7,10.0,52.8
1067.49642801,52.7,10.0,52.8
1069.51286721,52.7,10.0,52.8
1071.53075719,52.5,30.0,52.8
1073.54699302,52.5,30.0,52.8
1075.56465602,52.5,30.0,52.8
1078.32153702,52.5,30.0,52.8
1080.33698416,52.7,10.0,52.8
1082.65524602,52.8,0.0,52.8
1084.67047715,52.8,0.0,52.8
1086.68549013,52.8,0.0,52.8
1088.70046806,52.9,0.0,52.8
1090.7159822,52.7,10.0,52.8
1092.73097205,52.4,40.0,52.8
1095.77364612,52.2,60.0,52.8
1097.78909516,52.2,60.0,52.8
1099.80471611,52.2,60.0,52.8
1101.8227222,52.1,70.0,52.8
1103.83952808,52.1,70.0,52.8
1105.85794616,52.2,60.0,52.8
1107.87290502,52.4,40.0,52.8
1109.99787021,52.5,30.0,52.8
1112.01393104,52.7,10.0,52.8
1114.03028107,52.8,0.0,52.8
1116.04756999,52.8,0.0,52.8
1118.06424117,52.8,0.0,52.8
1120.08150601,52.8,0.0,52.8
1122.09703207,52.8,0.0,52.8
1124.11230302,52.7,10.0,52.8
1126.12779212,52.5,30.0,52.8
1128.1433301,52.4,40.0,52.8
1130.16077614,52.2,60.0,52.8
1132.17733502,52.4,40.0,52.8
1134.19332409,52.4,40.0,52.8
1136.2107861,52.4,40.0,52.8
1138.24639511,52.5,30.0,52.8
1140.26284599,52.5,30.0,52.8
1142.28081107,52.5,30.0,52.8
1144.29700518,52.5,30.0,52.8
1146.71780109,52.7,10.0,52.8
1148.73513222,52.7,10.0,52.8
1150.75175309,52.8,0.0,52.8
1152.76647615,52.8,0.0,52.8
1154.78190422,52.9,0.0,52.8
1156.79697108,52.8,0.0,52.8
1158.81264305,52.8,0.0,52.8
1160.83008718,52.7,10.0,52.8
1162.84566212,52.4,40.0,52.8
1164.86103201,52.4,40.0,52.8
1166.87580299,52.5,30.0,52.8
1168.89113522,52.7,10.0,52.8
1170.90693903,52.5,30.0,52.8
1172.9222641,52.7,10.0,52.8
1174.94050407,52.7,10.0,52.8
1176.95625401,52.7,10.0,52.8
1178.97160411,52.7,10.0,52.8
1180.989048,52.7,10.0,52.8
1183.00542521,52.7,10.0,52.8
1185.02039003,52.5,30.0,52.8
1187.03510714,52.4,40.0,52.8
1189.05066514,52.5,30.0,52.8
1191.06591702,52.5,30.0,52.8
1193.08116007,52.7,10.0,52.8
1195.09650517,52.8,0.0,52.8
1198.3765471,52.8,0.0,52.8
1200.99806809,52.8,0.0,52.8
1203.32054806,52.8,0.0,52.8
1205.33644414,52.8,0.0,52.8
1207.354316,52.8,0.0,52.8
1209.36951804,52.7,10.0,52.8
1211.38509202,52.4,40.0,52.8
1213.40878201,52.2,60.0,52.8
1215.42691422,52.1,70.0,52.8
1217.44291711,52.1,70.0,52.8
1219.46200609,52.2,60.0,52.8
1222.4795022,52.5,30.0,52.8
1224.49574399,52.7,10.0,52.8
1226.51229215,52.7,10.0,52.8
1228.52981114,52.8,0.0,52.8
1230.54456115,52.8,0.0,52.8
1232.55988002,52.7,10.0,52.8
